,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date
38,121938,INF194K018M0,-,BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW,10.9214,2025-07-04
39,121933,INF194K015M6,-,BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW,11.3996,2025-07-04
40,127470,-,INF194KA1JC5,BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW,10.8788,2025-07-04
41,121931,-,INF194K016M4,BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW,10.6226,2025-07-04
42,121280,INF194K01SN6,-,BANDHAN Banking & PSU Debt Fund - Regular Growth,24.7469,2025-07-04
43,121282,INF194K01SO4,INF194K012D2,BANDHAN Banking & PSU Debt Fund - Regular IDCW,13.3632,2025-07-04
44,121932,-,INF194K017M2,BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW,10.6991,2025-07-04
45,121937,INF194K014M9,-,BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW,10.8231,2025-07-04
47,148629,INF955L01KF1,INF955L01KG9,Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.5134,2025-07-04
48,148628,INF955L01KC8,-,Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,12.9996,2025-07-04
49,148630,INF955L01KD6,INF955L01KE4,Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.5487,2025-07-04
50,148625,INF955L01JX6,-,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,12.7165,2025-07-04
51,148626,INF955L01KA2,INF955L01KB0,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.347,2025-07-04
52,148627,INF955L01JY4,INF955L01JZ1,Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.3346,2025-07-04
54,150505,INF760K01KC4,-,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.2118,2025-07-04
55,150507,INF760K01KE0,INF760K01KD2,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.7587,2025-07-04
56,150503,INF760K01KF7,-,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,12.1076,2025-07-04
57,150504,INF760K01KH3,INF760K01KG5,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.681,2025-07-04
59,124175,INF740K01ZW2,-,DSP Banking & PSU Debt Fund - Direct Plan - Growth,25.0411,2025-07-04
60,124178,INF740K01A18,INF740K01A26,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.5603,2025-07-04
61,124182,-,INF740KA1OF7,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1622,2025-07-04
62,124176,INF740K01ZX0,INF740K01ZY8,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.363,2025-07-04
63,124177,INF740K01ZZ5,INF740K01A00,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.4,2025-07-04
64,124183,INF740KA1OG5,INF740KA1OH3,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1636,2025-07-04
65,124172,INF740K01ZP6,-,DSP Banking & PSU Debt Fund - Regular Plan - Growth,24.1824,2025-07-04
66,124174,INF740K01ZU6,INF740K01ZV4,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.5507,2025-07-04
67,124173,-,INF740KA1OI1,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1601,2025-07-04
68,124180,INF740K01ZQ4,INF740K01ZR2,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.3498,2025-07-04
69,124181,INF740K01ZS0,INF740K01ZT8,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.3938,2025-07-04
70,124179,INF740KA1OJ9,INF740KA1OK7,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1614,2025-07-04
72,140286,INF843K01FC8,-,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,25.7444,2025-07-04
73,140288,INF843K01FD6,INF843K01FE4,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,19.0134,2025-07-04
74,140291,INF843K01FG9,-,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.5818,2025-07-04
75,140293,INF843K01FI5,INF843K01FH7,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9468,2025-07-04
76,140290,INF843K01FF1,-,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5712,2025-07-04
77,140283,INF843K01FK1,-,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,24.8442,2025-07-04
78,140284,INF843K01FL9,INF843K01FM7,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,18.1666,2025-07-04
79,140294,INF843K01FO3,-,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,14.1117,2025-07-04
80,140292,INF843K01FQ8,INF843K01FP0,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.1885,2025-07-04
81,140289,INF843K01FN5,-,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1652,2025-07-04
83,129008,INF090I01KR8,-,Franklin India Banking & PSU Debt Fund - Direct - Growth,23.5414,2025-07-04
84,129006,INF090I01KO5,-,Franklin India Banking & PSU Debt Fund - Growth,22.5336,2025-07-04
85,129009,INF090I01KS6,INF090I01KT4,Franklin India Banking and PSU Debt Fund - Direct - IDCW ,11.4881,2025-07-04
86,129007,INF090I01KP2,INF090I01KQ0,Franklin India Banking and PSU Debt Fund - IDCW ,10.8699,2025-07-04
88,128628,INF179KA1JC4,-,HDFC Banking and PSU Debt Fund - Growth Option,23.1489,2025-07-04
89,128629,INF179KA1IZ7,-,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,24.104,2025-07-04
90,128627,INF179KA1JD2,INF179KA1JE0,HDFC Banking and PSU Debt Fund - IDCW Option,10.2555,2025-07-04
91,128626,INF179KA1JA8,INF179KA1JB6,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.03,2025-07-04
93,151108,-,INF917K01HL7,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1844,2025-07-04
94,151107,INF917K01HH5,-,HSBC Banking and PSU Debt Fund - Direct Growth,25.6961,2025-07-04
95,151106,INF917K01HJ1,INF917K01HI3,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.3885,2025-07-04
96,151109,-,INF917K01HK9,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3659,2025-07-04
97,151102,-,INF677K01AF4,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.1065,2025-07-04
98,151104,INF677K01AE7,-,HSBC Banking and PSU Debt Fund - Regular Growth,24.394,2025-07-04
99,151105,INF677K01AI8,INF677K01AJ6,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.6572,2025-07-04
100,151103,-,INF917K01HM5,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3385,2025-07-04
102,112343,INF109K01WS5,INF109K01RV9,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549,2022-09-16
103,112344,INF109K01WR7,INF109K01RU1,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427,2022-09-16
104,130897,INF109KA1B57,-,ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889,2020-04-24
105,120257,INF109K01Z89,INF109K01Z97,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538,2022-09-16
106,120256,INF109K010A6,-,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,34.2772,2025-07-04
107,120258,INF109K011A4,INF109K012A2,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.9413,2025-07-04
108,120255,INF109K013A0,INF109K014A8,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708,2022-09-16
109,130950,INF109KA1B40,-,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665,2018-04-10
110,131148,INF109KA1M96,INF109KA1M88,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098,2022-09-16
111,112342,INF109K01RT3,-,ICICI Prudential Banking and PSU Debt Fund - Growth,32.8821,2025-07-04
112,116174,INF109K01YE1,INF109K01YD3,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.9572,2025-07-04
113,131147,INF109KA1M70,INF109KA1M62,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261,2022-09-16
114,113247,INF109K01WW7,INF109K01JM5,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122,2020-04-24
115,113242,INF109K01II5,-,ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631,2020-04-24
116,113243,INF109K01WV9,INF109K01IJ3,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305,2015-08-20
118,118234,-,INF205K01JX8,Invesco India Banking and PSU Fund - Daily IDCW (Reinvestment),1048.9048,2025-07-04
119,120444,INF205K01KT4,-,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,2439.3878,2025-07-04
120,120443,-,INF205K01KS6,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),1062.2893,2025-07-04
121,120445,INF205K01KU2,INF205K01KV0,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1010.461,2025-07-04
122,118232,INF205K01JV2,-,Invesco India Banking and PSU Fund - Growth Option,2278.4202,2025-07-04
123,118233,INF205K01JW0,INF205K01JY6,Invesco India Banking and PSU Fund - Monthly IDCW (Payout / Reinvestment),1061.0493,2025-07-04
125,148534,INF00XX01861,-,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,13.425,2025-07-04
126,148536,INF00XX01879,INF00XX01887,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,13.4262,2025-07-04
127,148535,INF00XX01838,-,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,13.082,2025-07-04
128,148533,INF00XX01846,INF00XX01853,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,13.0831,2025-07-04
130,123688,INF174K01FS4,INF174K01FR6,Kotak Banking and PSU Debt - Annual Dividend,16.1842,2017-09-15
131,123858,-,INF174K01SD9,Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188,2017-09-15
132,123859,INF174K01SE7,-,Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604,2017-09-15
133,123690,INF174K01FO3,-,Kotak Banking and PSU Debt - Growth,65.7969,2025-07-04
134,123691,INF174K01FQ8,INF174K01FP0,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,12.3617,2025-07-04
135,123689,INF174K01KI5,INF174K01KJ3,Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427,2017-09-15
136,123693,INF174K01KH7,-,Kotak Banking and PSU Debt Direct - Growth,68.5568,2025-07-04
137,123692,INF174K01KK1,-,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2826,2025-07-04
139,120337,INF767K01GJ2,INF767K01GM6,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,14.2977,2025-07-04
140,120338,INF767K01GI4,-,LIC MF Banking & PSU Fund-Direct Plan-Growth,37.7971,2025-07-04
141,120339,INF767K01GK0,INF767K01GN4,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,14.2349,2025-07-04
142,120336,INF767K01GL8,INF767K01GO2,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,10.0664,2025-07-04
143,105822,INF767K01519,INF767K01527,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,11.2731,2025-07-04
144,105823,INF767K01535,-,LIC MF Banking & PSU Fund-Regular Plan-Growth,35.045,2025-07-04
145,105856,INF767K01543,INF767K01550,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,13.116,2025-07-04
146,105857,INF767K01568,INF767K01576,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,10.3992,2025-07-04
148,148419,INF769K01FY9,-,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,13.3276,2025-07-04
149,148417,INF769K01FX1,INF769K01FZ6,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,13.3229,2025-07-04
150,148416,INF769K01FV5,-,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,13.0353,2025-07-04
151,148418,INF769K01FU7,INF769K01FW3,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,13.0363,2025-07-04
153,134555,INF204KA1U79,INF204KA1U87,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,21.6773,2025-07-04
154,134553,INF204KA1U12,INF204KA1U20,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,10.4503,2025-07-04
155,134547,INF204KA1U53,-,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,21.6773,2025-07-04
156,134550,INF204KA1V37,INF204KA1V45,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,10.7749,2025-07-04
157,134556,INF204KA1U95,INF204KA1V03,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,10.8546,2025-07-04
158,134554,INF204KA1V11,INF204KA1V29,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,10.4496,2025-07-04
159,134548,INF204KA1T72,INF204KA1T80,NIPPON INDIA BANKING and PSU FUND - IDCW Option,20.8879,2025-07-04
160,134549,INF204KA1U38,INF204KA1U46,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,10.706,2025-07-04
161,134551,INF204KA1T98,INF204KA1U04,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,10.7951,2025-07-04
162,134552,INF204KA1U61,-,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,21.6774,2025-07-04
163,134546,INF204KA1T64,-,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,12.3452,2018-02-02
164,134545,INF204KA1T56,-,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,20.8879,2025-07-04
166,125502,-,INF200K01V16,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1467.3952,2025-07-04
167,125503,INF200K01V08,-,SBI BANKING & PSU FUND - Direct Plan - Growth,3331.4108,2025-07-04
168,125505,INF200K01V40,INF200K01V57,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1310.22,2025-07-04
169,125504,INF200K01V32,INF200K01V24,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1464.1377,2025-07-04
170,125498,INF200K01U41,-,SBI BANKING & PSU FUND - Regular Paln - Growth,3134.7989,2025-07-04
171,125499,-,INF200K01U58,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1430.1819,2025-07-04
172,125501,INF200K01U82,INF200K01U90,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1228.7304,2025-07-04
173,125500,INF200K01U74,INF200K01U66,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1429.8382,2025-07-04
175,134363,INF903J017I5,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,11.7065,2017-03-17
176,134370,INF903J012J4,INF903J013J2,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,11.4008,2017-03-17
177,134369,INF903J019I1,INF903J014J0,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,10.6356,2016-03-31
178,134355,INF903J016I7,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,11.6319,2017-02-17
179,134358,-,INF903J010I0,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,11.6582,2017-03-17
180,134356,INF903J016H9,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,11.6493,2017-03-17
181,134359,INF903J018H5,INF903J012I6,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,11.1411,2017-03-17
182,134361,INF903J014I2,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,11.1681,2016-08-16
183,134362,INF903J019H3,INF903J013I4,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,11.0236,2017-03-17
184,134360,INF903J017H7,INF903J011I8,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,10.1418,2017-03-17
185,119629,INF903J01RI4,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,21.8981,2025-06-27
186,119627,-,INF903J01PC1,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.23,2024-06-28
187,119625,INF903J01PA5,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,43.9125,2025-07-04
188,119626,INF903J01PB3,INF903J01PE7,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),11.7285,2025-07-04
189,118326,INF903J01LY4,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,21.7644,2025-06-27
190,100782,-,INF903J01IP8,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.355,2024-06-28
191,100784,INF903J01IN3,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,43.297,2025-07-04
192,100793,INF903J01IO1,INF903J01IR4,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),11.773,2025-07-04
193,100783,-,INF903J01IQ6,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1035,2024-06-28
194,100781,INF903J01IK9,-,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,35.6206,2024-06-28
195,100780,INF903J01IL7,INF903J01IM5,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.4908,2024-06-28
197,148656,INF0GCD01107,-,TRUSTMF BANKING & PSU FUND - DIRECT GROWTH,1304.9444,2025-07-04
198,148655,INF0GCD01016,-,TRUSTMF BANKING & PSU FUND - REGULAR GROWTH,1276.3986,2025-07-04
199,148672,INF0GCD01180,INF0GCD01172,TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1144.6196,2025-07-04
200,148678,-,INF0GCD01115,TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1302.8419,2025-07-04
201,148681,INF0GCD01149,INF0GCD01131,TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION,1143.6151,2025-07-04
202,148670,INF0GCD01164,INF0GCD01156,TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1160.1914,2025-07-04
203,148675,-,INF0GCD01123,TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1124.4077,2025-07-04
204,148669,INF0GCD01099,INF0GCD01081,TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1117.4649,2025-07-04
205,148667,-,INF0GCD01024,TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1230.4354,2025-07-04
206,148674,INF0GCD01057,INF0GCD01040,TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1123.9768,2025-07-04
207,148668,INF0GCD01073,INF0GCD01065,TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1134.7331,2025-07-04
208,148679,-,INF0GCD01032,TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1107.3225,2025-07-04
210,140135,INF789FA1V03,INF789FA1V11,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,13.2562,2025-07-04
211,133972,INF789FA1V29,INF789FA1V37,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,19.3296,2025-07-04
212,126940,INF789F015Z6,-,UTI Banking & PSU Fund - Direct Plan - Growth Option,22.4312,2025-07-04
213,141375,INF789FA1U87,INF789FA1U95,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,14.8848,2025-07-04
214,134026,INF789FC1HE1,INF789FC1HF8,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,13.488,2025-07-04
215,126942,INF789F016Z4,INF789F017Z2,UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,16.6952,2025-07-04
216,140116,INF789FA1U46,INF789FA1U53,UTI Banking & PSU Fund - Regular Plan - Annual IDCW,13.0129,2025-07-04
217,133971,INF789FA1U61,INF789FA1U79,UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,14.7899,2025-07-04
218,139407,INF789FA1U20,INF789FA1U38,UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,14.7278,2025-07-04
219,136110,INF789FC1HC5,INF789FC1HD3,UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,13.2646,2025-07-04
220,126941,INF789F012Z3,INF789F013Z1,UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,15.1348,2025-07-04
221,126939,INF789F014Z9,-,UTI Banking & PSU Fund- Regular Plan - Growth Option,22.0543,2025-07-04
224,119533,INF209K01S38,-,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,115.4491,2025-07-04
